seuil_pente,seuil_ordonnee_a_l_origine,left_index_caracteristique1,right_index_caracteristique1,left_index_caracteristique2,right_index_caracteristique2,total_points_caracteristique1,total_points_caracteristique2,erreur
0.6,6.5,0,17,83,99,18,17,0.046979866
0.65,5.5,0,17,83,99,18,17,0.046979866
0.9,7.5,0,18,89,99,19,11,0.046979866
0.95,5.5,0,18,89,99,19,11,0.046979866
0.95,6.5,0,18,89,99,19,11,0.046979866
0.95,7,0,18,89,99,19,11,0.046979866
0.6,7.5,0,18,86,99,19,14,0.046979866
0.65,7,0,18,86,99,19,14,0.046979866
0.7,6.5,0,18,86,99,19,14,0.046979866
0.75,6,0,18,86,99,19,14,0.046979866
0.6,6.5,0,18,85,99,19,15,0.046979866
0.65,7,0,18,85,99,19,15,0.046979866
0.7,5.5,0,18,85,99,19,15,0.046979866
0.7,6.5,0,18,85,99,19,15,0.046979866
0.75,5.5,0,18,85,99,19,15,0.046979866
0.75,6,0,18,85,99,19,15,0.046979866
0.8,4,0,18,85,99,19,15,0.046979866
0.85,3,0,18,85,99,19,15,0.046979866
0.9,2,0,18,85,99,19,15,0.046979866
0.95,1,0,18,85,99,19,15,0.046979866
0.6,6.5,0,18,84,99,19,16,0.046979866
0.65,7,0,18,84,99,19,16,0.046979866
0.7,5.5,0,18,84,99,19,16,0.046979866
0.7,6.5,0,18,84,99,19,16,0.046979866
0.75,5.5,0,18,84,99,19,16,0.046979866
0.75,6,0,18,84,99,19,16,0.046979866
0.8,4,0,18,84,99,19,16,0.046979866
0.85,3,0,18,84,99,19,16,0.046979866
0.9,2,0,18,84,99,19,16,0.046979866
0.95,1,0,18,84,99,19,16,0.046979866
0.6,7.5,0,18,81,99,19,19,0.046979866
0.65,6.5,0,18,81,99,19,19,0.046979866
0.7,5.5,0,18,81,99,19,19,0.046979866
0.75,5,0,18,81,99,19,19,0.046979866
0.75,6,0,18,81,99,19,19,0.046979866
0.8,4,0,18,81,99,19,19,0.046979866
0.8,4.5,0,18,81,99,19,19,0.046979866
0.85,3,0,18,81,99,19,19,0.046979866
0.9,2,0,18,81,99,19,19,0.046979866
0.95,1,0,18,81,99,19,19,0.046979866
0.65,7,0,18,80,99,19,20,0.046979866
0.7,6,0,18,80,99,19,20,0.046979866
0.7,6.5,0,18,80,99,19,20,0.046979866
0.75,5.5,0,18,80,99,19,20,0.046979866
0.75,6,0,18,80,99,19,20,0.046979866
0.65,7,0,18,79,99,19,21,0.046979866
0.7,6,0,18,79,99,19,21,0.046979866
0.7,6.5,0,18,79,99,19,21,0.046979866
0.75,5.5,0,18,79,99,19,21,0.046979866
0.75,6,0,18,79,99,19,21,0.046979866
0.65,7,0,18,78,99,19,22,0.046979866
0.7,6,0,18,78,99,19,22,0.046979866
0.7,6.5,0,18,78,99,19,22,0.046979866
0.7,7,0,18,78,99,19,22,0.046979866
0.75,5.5,0,18,78,99,19,22,0.046979866
0.75,6,0,18,78,99,19,22,0.046979866
0.75,6.5,0,18,78,99,19,22,0.046979866
0.65,7,0,18,77,99,19,23,0.046979866
0.7,6,0,18,77,99,19,23,0.046979866
0.7,6.5,0,18,77,99,19,23,0.046979866
0.75,5.5,0,18,77,99,19,23,0.046979866
0.65,7,0,18,76,99,19,24,0.046979866
0.7,6,0,18,76,99,19,24,0.046979866
0.7,6.5,0,18,76,99,19,24,0.046979866
0.75,5.5,0,18,76,99,19,24,0.046979866
0.65,7,0,18,75,99,19,25,0.046979866
0.7,6,0,18,75,99,19,25,0.046979866
0.7,6.5,0,18,75,99,19,25,0.046979866
0.75,5.5,0,18,75,99,19,25,0.046979866
0.65,7,0,18,74,99,19,26,0.046979866
0.7,6,0,18,74,99,19,26,0.046979866
0.7,6.5,0,18,74,99,19,26,0.046979866
